id_servicio,servicio
831284163,7.15 Gestión de Casos
831284163,7.2 Salud Mental y Acompañamiento Psicosocial
831284163,7.3 Enfermedades No Transmisibles
831284163,7.3 Enfermedades No Transmisibles
831284163,7.3 Enfermedades No Transmisibles
831284163,7.3 Enfermedades No Transmisibles
831284163,7.3 Enfermedades No Transmisibles
831284163,7.4 Enfermedades Transmisibles
831284163,7.4 Enfermedades Transmisibles
831284163,7.4 Enfermedades Transmisibles
831284163,7.4 Enfermedades Transmisibles
831284163,7.4 Enfermedades Transmisibles
831284163,7.5 Salud Materna y Salud Perinatal
831284163,7.5 Salud Materna y Salud Perinatal
831284163,7.5 Salud Materna y Salud Perinatal
831284163,7.5 Salud Materna y Salud Perinatal
831284163,7.6 Prevención y Atención VIH
831284163,7.6 Prevención y Atención VIH
831284163,7.6 Prevención y Atención VIH
831284163,7.6 Prevención y Atención VIH
831284163,7.6 Prevención y Atención VIH
831284163,7.6 Prevención y Atención VIH
831284163,7.6 Prevención y Atención VIH
831284163,7.7 Salud Sexual y Reproductiva
831284163,7.7 Salud Sexual y Reproductiva
831284163,7.8 Violencia Sexual
831284163,7.8 Violencia Sexual
831284163,7.8 Violencia Sexual
831313699,7.1 Servicios de atención primaria
831313699,7.1 Servicios de atención primaria
831313699,7.1 Servicios de atención primaria
831313699,7.1 Servicios de atención primaria
831313699,7.1 Servicios de atención primaria
831313699,7.10 Vacunación
831313699,7.11 Sistema de Alerta Temprana y Vigilancia Epidemiológica
831313699,7.11 Sistema de Alerta Temprana y Vigilancia Epidemiológica
831313699,7.11 Sistema de Alerta Temprana y Vigilancia Epidemiológica
831313699,7.12 Atención a Lesiones y Traumas
831313699,7.12 Atención a Lesiones y Traumas
831313699,7.12 Atención a Lesiones y Traumas
831313699,7.12 Atención a Lesiones y Traumas
831313699,7.2 Salud Mental y Acompañamiento Psicosocial
831313699,7.2 Salud Mental y Acompañamiento Psicosocial
831313699,7.2 Salud Mental y Acompañamiento Psicosocial
831313699,7.3 Enfermedades No Transmisibles
831313699,7.3 Enfermedades No Transmisibles
831313699,7.3 Enfermedades No Transmisibles
831313699,7.3 Enfermedades No Transmisibles
831313699,7.3 Enfermedades No Transmisibles
831313699,7.3 Enfermedades No Transmisibles
831313699,7.4 Enfermedades Transmisibles
831313699,7.4 Enfermedades Transmisibles
831313699,7.4 Enfermedades Transmisibles
831313699,7.4 Enfermedades Transmisibles
831313699,7.4 Enfermedades Transmisibles
831313699,7.4 Enfermedades Transmisibles
831313699,7.4 Enfermedades Transmisibles
