id_reporte,fecha_reporte,organizacion,estado,municipio,nombre_sitio,latitud,longitud
831518911,2026-08-03,UNICEF,La Guaira,Vargas,ASIC Guaracarumbo 509,,
831519586,2026-08-03,UNICEF,La Guaira,Vargas,ASIC Jose Maria Vargas,,
831520120,2026-08-03,UNICEF,La Guaira,Vargas,ASIC Camurichico,,
831521216,2026-08-03,UNICEF,La Guaira,Vargas,ASIC Naiguata,,
831521704,2026-08-03,UNICEF,La Guaira,Vargas,ASIC Caruao,,
831523843,2026-08-03,UNICEF,La Guaira,Vargas,Amb Eudoro Gonzalez,,
831524173,2026-08-03,UNICEF,La Guaira,Vargas,Materno Infantil Ana Teresa De Jesus Ponce,,
831524465,2026-08-03,UNICEF,La Guaira,Vargas,Amb Los Caracas,,
831524862,2026-08-03,UNICEF,La Guaira,Vargas,CDI Elizabeth Perdomo - Guaracarumbo,,
831525277,2026-08-03,UNICEF,La Guaira,Vargas,CDI Maiquetia,,
831525808,2026-08-03,UNICEF,La Guaira,Vargas,Hosp  de Emergencia Naiguata,,
830436181,2026-08-04,Médicos del Mundo,La Guaira,Vargas,Consultorio Medico Peache 2,10.571192,-67.05426
830442109,2026-08-04,Médicos del Mundo,La Guaira,Vargas,Consultorio Popular Peache 1,10.576594,-67.050062
830444181,2026-08-04,Médicos del Mundo,La Guaira,Vargas,Consultorio Popular Brisas de Maiquetia,10.595729,-67.009464
830444885,2026-08-04,GOAL,La Guaira,Vargas,Comunidad de San Julian,10.596168,-66.849144
830445567,2026-08-04,Médicos del Mundo,La Guaira,Vargas,Piache 3,10.564883,-67.057916
831422493,2026-08-05,AVESSOC,La Guaira,Vargas,El Caimito,,
831423365,2026-08-05,AVESSOC,La Guaira,Vargas,Los Corales,,
831424374,2026-08-05,AVESSOC,La Guaira,Vargas,Tanaguarenas,,
831424952,2026-08-05,AVESSOC,La Guaira,Vargas,Blanquita de Pérez,,
831425499,2026-08-05,AVESSOC,La Guaira,Vargas,Quebrada Seca,,
831427861,2026-08-05,AVESSOC,La Guaira,Vargas,La Lucha,,
831429205,2026-08-05,AVESSOC,La Guaira,Vargas,Urbanización José Antonio Páez,,
831430034,2026-08-05,AVESSOC,Distrito Capital,Libertador,Fuerza y Razón,,
831430657,2026-08-05,AVESSOC,Distrito Capital,Libertador,Kilómetro 4,,
831432082,2026-08-05,AVESSOC,Miranda,Plaza,Vicente Emilio Sojo,,
831433918,2026-08-05,AVESSOC,La Guaira,Vargas,Playa Verde,,
831434777,2026-08-05,AVESSOC,La Guaira,Vargas,Los Próceres,,
838125240,2026-08-05,Acción Solidaria,La Guaira,Vargas,Playa Surfista,10.61073,-66.997678
832323001,2026-08-06,UNFPA,La Guaira,Vargas,Polideportivo José María Vargas,10.602783,-66.96701
832410403,2026-08-06,UNFPA,La Guaira,Vargas,"Centros transitorios Polideportivo José María Vargas, Estado Cesar Nieves, Estadio Playa Grande, Mare Abajo",10.607755,-66.981705
834192340,2026-08-08,UNFPA,La Guaira,Vargas,"Campamentos transitorios: Cesar Nieves, Polideportivo José María Vargas y Mare Abajo.",10.606788,-66.993181
835869458,2026-08-10,OIM,La Guaira,Vargas,Campamento Transitorio José María Vargas,10.600496,-66.969599
835952228,2026-08-10,UNFPA,La Guaira,Vargas,"Polideportivo José, Cesar Nieves y Mare Abajo",10.601508,-66.967938
837105860,2026-08-11,UNFPA,La Guaira,Vargas,"Campamentos transitorios: Polideportivo José María Vargas, Cesar Nieves y Mare Abajo",10.600961,-66.961735
838284673,2026-08-11,Fundación Vive Más,Distrito Capital,Libertador,No reportado,,
838275063,2026-08-12,UNFPA,La Guaira,Vargas,"Centro transitorio Polideportivo José María Vargas, Estadio Cesar Nieves, Mare Abajo",10.601357,-66.962432
831480054,2026-08-13,UNICEF,La Guaira,Vargas,Liceo Lorenzo Gonzalez,,
839576714,2026-08-13,UNFPA,La Guaira,Vargas,"Campamentos transitorios: Polideportivo José María Vargas, Estado Cesar Nieves, Mare Abajo y Mariano Picón Salas",10.607339,-66.977828
840393907,2026-08-14,UNFPA,La Guaira,Vargas,"Campamentos transitorios: Polideportivo José María Vargas, Estadio Cesar Nieves y Mare Abajo",10.494968,-66.91244
840931955,2026-08-15,UNFPA,La Guaira,Vargas,"Campamentos transitorios: Polideportivo José María Vargas, Estadios Cesar Nieves y Mare Abajo",10.605441,-66.969408
842344027,2026-08-15,UNFPA,La Guaira,Vargas,"Campamentos transitorios: Polideportivo José María Vargas, Estadio César Nieves y Mare Abajo",10.604633,-66.96724
848779259,2026-08-17,FUNDAENSALUD,La Guaira,Vargas,La peñita. Escuela Básica Estadal Concentrada la Peñita y Ambulatorio Rural tipo II La Peñita,10.503563,-66.83829
843508717,2026-08-18,UNFPA,La Guaira,Vargas,"Campamento transitorio: Polideportivo José María Vargas, Estadio César Nieves, Mare Abajo y Rosendo Castillo",10.599942,-66.95921
844189387,2026-08-18,Project HOPE,La Guaira,Vargas,Mare Abajo,,
844189822,2026-08-18,Project HOPE,La Guaira,Vargas,Campo de Golf Caraballeda,,
845475797,2026-08-18,UNICEF,La Guaira,Vargas,Cerro Colombia sector  Abelardo Lovera,,
845553489,2026-08-18,UNICEF,La Guaira,Vargas,Liceo Abelardo Lovera,,
845569382,2026-08-18,UNICEF,La Guaira,Vargas,CIS Cojo,,
845576384,2026-08-18,UNICEF,La Guaira,Vargas,CMP CARLOS SOUBLETTE,,
845580803,2026-08-18,UNICEF,La Guaira,Vargas,Calle Juan Ortiz,,
845661915,2026-08-18,UNICEF,La Guaira,Vargas,U.E. Simón Bolívar,,
845662512,2026-08-18,UNICEF,La Guaira,Vargas,Calle Sucre,,
845667695,2026-08-18,UNICEF,La Guaira,Vargas,Teleférico,,
845669079,2026-08-18,UNICEF,La Guaira,Vargas,Corapal,,
845672207,2026-08-18,UNICEF,La Guaira,Vargas,CORAPAL CALLEJON JUAN ORTIZ,,
845673146,2026-08-18,UNICEF,La Guaira,Vargas,Valle del Pino,,
845682022,2026-08-18,UNICEF,La Guaira,Vargas,CEI Jose Felix Ribas,,
846167685,2026-08-18,UNICEF,La Guaira,Vargas,CORAPAL,,
846178297,2026-08-18,UNICEF,La Guaira,Vargas,U.E. Simón Bolívar,,
846220258,2026-08-18,UNICEF,La Guaira,Vargas,VALLE DEL PINO,,
846525154,2026-08-18,UNICEF,La Guaira,Vargas,AMB. EUDORO GONZALEZ,,
846526659,2026-08-18,UNICEF,La Guaira,Vargas,LA PEÑITA SECTOR LA ALEGRIA,,
846529211,2026-08-18,UNICEF,La Guaira,Vargas,LAS LAPAS,,
846531165,2026-08-18,UNICEF,La Guaira,Vargas,Liceo Lorenzo Gonzalez,,
846532537,2026-08-18,UNICEF,La Guaira,Vargas,CDI 10 de Marzo,,
846533669,2026-08-18,UNICEF,La Guaira,Vargas,San Rafael el tanque parte Alta,,
846534748,2026-08-18,UNICEF,La Guaira,Vargas,Mañonga,,
846535477,2026-08-18,UNICEF,La Guaira,Vargas,CPT3 La Planada,,
846536193,2026-08-18,UNICEF,La Guaira,Vargas,San Rafael La Linea,,
846536970,2026-08-18,UNICEF,La Guaira,Vargas,Alberto Ravel,,
846537671,2026-08-18,UNICEF,La Guaira,Vargas,"Pariata , Callejon el Cuji",,
846538886,2026-08-18,UNICEF,La Guaira,Vargas,Polideportivo José María Vargas (Campamento ONU),,
846541994,2026-08-18,UNICEF,La Guaira,Vargas,Campamento Transitorio (Escuela 10 de Marzo),,
846546511,2026-08-18,UNICEF,La Guaira,Vargas,Polideportivo José María Vargas (Campamento ONU),,
846547679,2026-08-18,UNICEF,La Guaira,Vargas,Campamento Transitorio (Mare Abajo),,
846548517,2026-08-18,UNICEF,La Guaira,Vargas,Canaima,,
846550460,2026-08-18,UNICEF,La Guaira,Vargas,Comunidad Jose Maria Vargas,,
846551446,2026-08-18,UNICEF,La Guaira,Vargas,CEI Dolores Molina,,
846555026,2026-08-18,UNICEF,La Guaira,Vargas,CEI Escuela Basica Urimare,,
846555740,2026-08-18,UNICEF,La Guaira,Vargas,CEIB Pedro Jose Linares,,
846556457,2026-08-18,UNICEF,La Guaira,Vargas,Todasana,,
846557952,2026-08-18,UNICEF,La Guaira,Vargas,Estadio César Nieves (Campamento ONU),,
846559998,2026-08-18,UNICEF,La Guaira,Vargas,Estadio César Nieves (Campamento ONU),,
846560683,2026-08-18,UNICEF,La Guaira,Vargas,ESPERANZA,,
846563671,2026-08-18,UNICEF,La Guaira,Vargas,LA SOUBLETTE,,
846564063,2026-08-18,UNICEF,La Guaira,Vargas,CDI La Páez,,
846566941,2026-08-18,UNICEF,La Guaira,Vargas,San Remo parte alta,,
846568391,2026-08-18,UNICEF,La Guaira,Vargas,Comunidad Piache I,,
846570784,2026-08-18,UNICEF,La Guaira,Vargas,EZEQUIEL ZAMORA,,
846571477,2026-08-18,UNICEF,La Guaira,Vargas,LA ESPERANZA II,,
846576666,2026-08-18,UNICEF,La Guaira,Vargas,Comunidad Piache II,,
847211732,2026-08-18,UNICEF,La Guaira,Vargas,Valle La Cruz,,
847213548,2026-08-18,UNICEF,La Guaira,Vargas,Comunidad Ciudad Piar,,
847214306,2026-08-18,UNICEF,La Guaira,Vargas,ASIC CATIA LA MAR,,
847230594,2026-08-18,UNICEF,La Guaira,Vargas,CEI 5 de Julio,,
847231019,2026-08-18,UNICEF,La Guaira,Vargas,CEIN La Esperanza,,
847231690,2026-08-18,UNICEF,La Guaira,Vargas,ESPERANZA III,,
847232387,2026-08-18,UNICEF,La Guaira,Vargas,CEI Doris Muñoz,,
847232920,2026-08-18,UNICEF,La Guaira,Vargas,CEI Mi Pequeño Jardín,,
847233259,2026-08-18,UNICEF,La Guaira,Vargas,AMB VALLE LA CRUZ,,
847234316,2026-08-18,UNICEF,La Guaira,Vargas,Dirección Regional de Salud Estado La Guaira,,
847234838,2026-08-18,UNICEF,La Guaira,Vargas,Zamora,,
847235249,2026-08-18,UNICEF,La Guaira,Vargas,AMB LA GUAIRA,,
847235487,2026-08-18,UNICEF,La Guaira,Vargas,HOSPITAL JOSE MARIA VARGAS IVSS,,
847236203,2026-08-18,UNICEF,La Guaira,Vargas,Campamento Transitorio Oeste Republica de Panama,,
847237106,2026-08-18,UNICEF,La Guaira,Vargas,AMBULATORIO ESPECIALIZADO LA GUAIRA,,
847237762,2026-08-18,UNICEF,La Guaira,Vargas,Instituto Venezolano de los Seguros Sociales (IVSS) La Guaira,,
847237986,2026-08-18,UNICEF,La Guaira,Vargas,CEI Doña Verónica Coello,,
847238328,2026-08-18,UNICEF,La Guaira,Vargas,Llano adentro,,
847238670,2026-08-18,UNICEF,La Guaira,Vargas,Materno Infantil Ana Teresa De Jesus Ponce,,
847239424,2026-08-18,UNICEF,La Guaira,Vargas,"Campamento Transitorio ""Guaicamacuto""",,
847240071,2026-08-18,UNICEF,La Guaira,Vargas,TELEFÉRICO CALLE ORAMA,,
847240381,2026-08-18,UNICEF,La Guaira,Vargas,Nicolaza Benitez,,
847240951,2026-08-18,UNICEF,La Guaira,Vargas,Escuela Juan Aranaga,,
847241282,2026-08-18,UNICEF,La Guaira,Vargas,Hospital Rafael Medina Jimenez,,
847241646,2026-08-18,UNICEF,La Guaira,Vargas,"Comunidad Piedra de moler , Pariata",,
847241933,2026-08-18,UNICEF,La Guaira,Vargas,CDI José María Vargas,,
847242286,2026-08-18,UNICEF,La Guaira,Vargas,Campamento Transitorio Roscio,,
847242542,2026-08-18,UNICEF,La Guaira,Vargas,LAS ANIMAS,,
847242956,2026-08-18,UNICEF,La Guaira,Vargas,CEI Guiriguiri,,
847243507,2026-08-18,UNICEF,La Guaira,Vargas,CEI Simon Bolivar,,
847243852,2026-08-18,UNICEF,La Guaira,Vargas,CEIB Hipolita Bolivar,,
847244306,2026-08-18,UNICEF,La Guaira,Vargas,Consultorio Popular Naiguatá,,
847244699,2026-08-18,UNICEF,La Guaira,Vargas,ASIC 513 NAIGUATA,,
847245468,2026-08-18,UNICEF,La Guaira,Vargas,Ciudad Vacacional Los Caracas,,
847245951,2026-08-18,UNICEF,La Guaira,Vargas,EB Cerro Colorado,,
847246188,2026-08-18,UNICEF,La Guaira,Vargas,CEIN Martin Luther King,,
847246486,2026-08-18,UNICEF,La Guaira,Vargas,EB Cerro Colorado,,
847246987,2026-08-18,UNICEF,La Guaira,Vargas,Estadio Playa Grande (Campamento ONU),,
847248274,2026-08-18,UNICEF,La Guaira,Vargas,Estadio Playa Grande (Campamento ONU),,
847248823,2026-08-18,UNICEF,La Guaira,Vargas,Campamento transitorio Oeste La Lucha,,
847249176,2026-08-18,UNICEF,La Guaira,Vargas,Comunidad La Lucha,,
847249594,2026-08-18,UNICEF,La Guaira,Vargas,CEI Alexis Rojas,,
847249901,2026-08-18,UNICEF,La Guaira,Vargas,CEI Manuelita Saenz,,
847250487,2026-08-18,UNICEF,La Guaira,Vargas,CEI Matea Bolivar,,
845375630,2026-08-19,Project HOPE,La Guaira,Vargas,Campo de Golf MMU Caraballeda,,
845383027,2026-08-19,Project HOPE,La Guaira,Vargas,Camurí,,
845392437,2026-08-19,Project HOPE,La Guaira,Vargas,Naiguata,,
846159975,2026-08-19,UNFPA,La Guaira,Vargas,"Campamentos temporales: Polideportivo José María Vargas, Estadio César NIeves y Mare Abajo",10.609408,-66.984445
846159992,2026-08-20,UNFPA,La Guaira,Vargas,"Campamentos temporales: Polideportivo Vargas, Estadio César Nieves, Mare Abajo y Gran Colombia",,
846317452,2026-08-20,Project HOPE,La Guaira,Vargas,Mare Abajo,,
846321630,2026-08-20,Project HOPE,La Guaira,Vargas,"MMU Campo de Golf, Caraballeda",,
846326992,2026-08-20,Project HOPE,Miranda,Chacao,El Pedregal,,
846613448,2026-08-21,UNFPA,La Guaira,Vargas,"Campamentos transitorios: Polideportivo Vargas, Estadio César Nieves y Mare Abajo",10.608079,-66.981335
847699660,2026-08-21,Project HOPE,La Guaira,Vargas,MMU campo de golf Caraballeda,,
847701391,2026-08-21,Project HOPE,La Guaira,Vargas,MMU Anare,,
847230162,2026-08-22,UNFPA,La Guaira,Vargas,"Campamentos temporales: Polideportivo Vargas, Estadio César Nieves y Mare Abajo",10.347648,-67.033781
848737845,2026-08-22,Project HOPE,La Guaira,Vargas,MMU Campo de Golf Caraballeda,,
848739585,2026-08-22,Project HOPE,Miranda,Chacao,"MMU San José La FLoresta, Chacao",,
848740867,2026-08-22,Project HOPE,La Guaira,Vargas,MMU Mare Abajo,,
848743596,2026-08-22,Project HOPE,Miranda,Baruta,"MMU Sisipa, Baruta",,
848744435,2026-08-23,Project HOPE,La Guaira,Vargas,"MMU Campo de Golf, Caraballeda",,
